+---------------------+---------------------+----------------------------------------------------+-------+----------+------------+----------------------+--------------------------------------------+-----------------+---------------+
| parent organisation | organisasjonsnummer | navn                                               | land  | landkode | postnummer | poststed             | adresse                                    | kommune         | kommunenummer |
| 997003578           | 997053516           | AUSTAD ELEKTRO AS                                  | Norge | NO       | 3750       | DRANGEDAL            | Smedveien 1B                               | DRANGEDAL       | 3815          |
| 995041340           | 995041340           | BB ELEKTRO AS                                      | Norge | NO       | 4160       | FINNØY               | Rygjabøvegen 4D                            | STAVANGER       | 1103          |
| 995041340           | 977449820           | BB ELEKTRO AS                                      | Norge | NO       | 4160       | FINNØY               | Rygjabøvegen 4D                            | STAVANGER       | 1103          |
| 929425677           | 929425677           | BERG & WIGUM AS                                    | Norge | NO       | 7038       | TRONDHEIM            | Fossegrenda 30B                            | TRONDHEIM       | 5001          |
| 929425677           | 971664037           | BERG & WIGUM AS                                    | Norge | NO       | 7038       | TRONDHEIM            | Fossegrenda 30B                            | TRONDHEIM       | 5001          |
| 965299424           | 965299424           | AS BERGEN INSTALLASJON                             | Norge | NO       | 5179       | GODVIK               | Leirvikåsen 37                             | BERGEN          | 4601          |
| 965299424           | 971664495           | BERGEN INSTALLASJON AS                             | Norge | NO       | 5179       | GODVIK               | Leirvikåsen 37                             | BERGEN          | 4601          |
| 986053840           | 986053840           | BINTO AS                                           | Norge | NO       | 7232       | LUNDAMO              | Ingen Adresse                              | MELHUS          | 5028          |
| 986053840           | 986073868           | BINTO AS                                           | Norge | NO       | 7232       | LUNDAMO              |                                            | MELHUS          | 5028          |
| 958380976           | 958380976           | BIRKELAND ELEKTRO AS                               | Norge | NO       | 4760       | BIRKELAND            | Strøget 74                                 | BIRKENES        | 4216          |
| 958380976           | 972220485           | BIRKELAND ELEKTRO AS                               | Norge | NO       | 4760       | BIRKELAND            | Strøket                                    | BIRKENES        | 4216          |
| 997924487           | 997924487           | BISMO ELEKTRO AS                                   | Norge | NO       | 2690       | SKJÅK                | Geilen 2A                                  | SKJÅK           | 3433          |
| 997924487           | 997944615           | BISMO ELEKTRO AS                                   | Norge | NO       | 2690       | SKJÅK                | Geilen 2A                                  | SKJÅK           | 3433          |
| 992179996           | 992179996           | BJELLAND ELEKTRO AS                                | Norge | NO       | 5550       | SVEIO                | Smørsund                                   | SVEIO           | 4612          |
| 992179996           | 992189487           | BJELLAND ELEKTRO AS                                | Norge | NO       | 5550       | SVEIO                | Smørsund                                   | SVEIO           | 4612          |
| 991230807           | 991230807           | BLÅSMO ELEKTRO AS                                  | Norge | NO       | 7300       | ORKANGER             | Bekkfaret 7                                | ORKLAND         | 5059          |
| 991230807           | 916428715           | BLÅSMO ELEKTRO AS                                  | Norge | NO       | 7300       | ORKANGER             | Bekkfaret 7                                | ORKLAND         | 5059          |
| 921369158           | 921369158           | BODIN ELEKTRISKE AS                                | Norge | NO       | 8012       | BODØ                 | Dreyfushammarn 11                          | BODØ            | 1804          |
| 921369158           | 921383045           | BODIN ELEKTRISKE AS                                | Norge | NO       | 8012       | BODØ                 | Dreyfushammarn 11                          | BODØ            | 1804          |
| 927154676           | 927154676           | BOTN ELEKTRO AS                                    | Norge | NO       | 8622       | MO I RANA            | Vikaveien 33                               | RANA            | 1833          |
| 927154676           | 973354930           | BOTN ELEKTRO AS                                    | Norge | NO       | 8622       | MO I RANA            | Vikaveien 33                               | RANA            | 1833          |
| 874384372           | 874384372           | BRØDRENE MELBY AS                                  | Norge | NO       | 2322       | RIDABU               | Hjellumvegen 96                            | HAMAR           | 3403          |
| 874384372           | 972058610           | BRØDRENE MELBY AS                                  | Norge | NO       | 2322       | RIDABU               | Hjellumvegen 96                            | HAMAR           | 3403          |
| 943001375           | 943001375           | CARLEIF ELEKTRO AS                                 | Norge | NO       | 7047       | TRONDHEIM            | Bromstadvegen 57                           | TRONDHEIM       | 5001          |
| 943001375           | 974075849           | CARLEIF ELEKTRO AS                                 | Norge | NO       | 7047       | TRONDHEIM            | Bromstadvegen 57                           | TRONDHEIM       | 5001          |
| 984082274           | 984082274           | CARLSENS ELEKTRO INSTALLASJON AS                   | Norge | NO       | 4328       | SANDNES              | Daleveien 29                               | SANDNES         | 1108          |
| 984082274           | 971674237           | CARLSENS ELEKTRO INSTALLASJON AS                   | Norge | NO       | 4328       | SANDNES              | Daleveien 29                               | SANDNES         | 1108          |
| 926514903           | 926514903           | DA-TEL AS                                          | Norge | NO       | 7350       | BUVIKA               | Valsetvegen 138                            | SKAUN           | 5029          |
| 926514903           | 990817367           | DA-TEL AS                                          | Norge | NO       | 7350       | BUVIKA               | Valsetvegen 138                            | SKAUN           | 5029          |
| 968366076           | 968366076           | DATELCO AS                                         | Norge | NO       | 0680       | OSLO                 | Ryensvingen 2-4                            | OSLO            | 0301          |
| 968366076           | 972389838           | DATELCO A/S                                        | Norge | NO       | 0680       | OSLO                 | RYENSVINGEN 2-4                            | OSLO            | 0301          |
| 890424732           | 890424732           | DIN-ELEKTRIKER AS                                  | Norge | NO       | 1529       | MOSS                 | Årvollskogen 46                            | MOSS            | 3002          |
| 890424732           | 990472416           | DIN-ELEKTRIKER AS                                  | Norge | NO       | 1529       | MOSS                 | Årvollskogen 46                            | MOSS            | 3002          |
| 985246645           | 985246645           | EBR ELEKTRO AS                                     | Norge | NO       | 1461       | LØRENSKOG            | Solheimveien 36                            | LØRENSKOG       | 3029          |
| 985246645           | 885363962           | EBR ELEKTRO AS                                     | Norge | NO       | 1461       | LØRENSKOG            | Solheimveien 36                            | LØRENSKOG       | 3029          |
| 992780061           | 992780061           | EID ELEKTRO AS                                     | Norge | NO       | 6770       | NORDFJORDEID         | Øyane 12                                   | STAD            | 4649          |
| 992780061           | 891178352           | EID ELEKTRO AS AVD BERGEN                          | Norge | NO       | 5224       | NESTTUN              | Midtunhaugen 13                            | BERGEN          | 4601          |
| 992780061           | 971693517           | EID ELEKTRO AS AVD EID                             | Norge | NO       | 6770       | NORDFJORDEID         | Øyane 12                                   | STAD            | 4649          |
| 956510740           | 956510740           | EIDSNES ELEKTRO AS                                 | Norge | NO       | 6013       | ÅLESUND              | Langrabben 56                              | ÅLESUND         | 1507          |
| 956510740           | 972169129           | EIDSNES ELEKTRO AS                                 | Norge | NO       | 6013       | ÅLESUND              | Langrabben 56                              | ÅLESUND         | 1507          |
| 983156207           | 983156207           | EL TEAM NORD AS                                    | Norge | NO       | 8012       | BODØ                 | Rønvikfjæra 7                              | BODØ            | 1804          |
| 983156207           | 882065332           | EL TEAM NORD AS                                    | Norge | NO       | 8012       | BODØ                 | Rønvikfjæra 7                              | BODØ            | 1804          |
| 990618836           | 990618836           | ELCOM AS                                           | Norge | NO       | 7900       | RØRVIK               | Storgata 11                                | NÆRØYSUND       | 5060          |
| 990618836           | 980065510           | ELCOM AS                                           | Norge | NO       | 7900       | RØRVIK               | Storgata 11                                | NÆRØYSUND       | 5060          |
| 962268161           | 962268161           | ELEKTRIKEREN KONGSBERG AS                          | Norge | NO       | 3611       | KONGSBERG            | Dyrmyrgata 23                              | KONGSBERG       | 3006          |
| 962268161           | 972273082           | ELEKTRIKEREN KONGSBERG AS                          | Norge | NO       | 3611       | KONGSBERG            | Dyrmyrgata 23                              | KONGSBERG       | 3006          |
| 992886366           | 992886366           | ELEKTRIKER'N SAUHERAD AS                           | Norge | NO       | 3683       | NOTODDEN             | Bryggevegen 23                             | NOTODDEN        | 3808          |
| 992886366           | 992906405           | ELEKTRIKER'N SAUHERAD AS                           | Norge | NO       | 3683       | NOTODDEN             | Bryggevegen 23                             | NOTODDEN        | 3808          |
| 975971554           | 975971554           | ELEKTRIKERSERVICE AS                               | Norge | NO       | 7045       | TRONDHEIM            | Innherredsveien 113                        | TRONDHEIM       | 5001          |
| 975971554           | 972089842           | ELEKTRIKERSERVICE AS                               | Norge | NO       | 7045       | TRONDHEIM            | Innherredsveien 113                        | TRONDHEIM       | 5001          |
| 992360879           | 992360879           | ELEKTRIKERSERVICE HALLINGDAL AS                    | Norge | NO       | 3550       | GOL                  | Narvebrøten 28                             | GOL             | 3041          |
| 992360879           | 992366265           | ELEKTRIKERSERVICE                                  | Norge | NO       | 3550       | GOL                  | Narvebrøten 28                             | GOL             | 3041          |
| 985700230           | 985700230           | ELEKTRIKERTJENESTEN HALDEN AS                      | Norge | NO       | 1781       | HALDEN               | Glenneveien 14                             | HALDEN          | 3001          |
| 985700230           | 985740755           | ELEKTRIKERTJENESTEN HALDEN AS                      | Norge | NO       | 1781       | HALDEN               | Glenneveien 14                             | HALDEN          | 3001          |
| 990738254           | 990738254           | ELEKTRIKERTJENESTEN SARPSBORG-FREDRIKSTAD AS       | Norge | NO       | 1618       | FREDRIKSTAD          | Produksjonsveien 13                        | FREDRIKSTAD     | 3004          |
| 990738254           | 990810230           | ELEKTRIKERTJENESTEN SARPSBORG-FREDRIKSTAD AS       | Norge | NO       | 1618       | FREDRIKSTAD          | Produksjonsveien 13                        | FREDRIKSTAD     | 3004          |
| 982800285           | 982800285           | ELEKTRISK INSTALLASJON AS                          | Norge | NO       | 2975       | VANG I VALDRES       | Syndinvegen 39A                            | VANG            | 3454          |
| 982800285           | 973558374           | ELEKTRISK INSTALLASJON AS                          | Norge | NO       | 2975       | VANG I VALDRES       | Syndinvegen 39A                            | VANG            | 3454          |
| 974423774           | 974423774           | ELEKTRO COMFORT AS                                 | Norge | NO       | 4315       | SANDNES              | Gamleveien 23                              | SANDNES         | 1108          |
| 974423774           | 974493500           | ELEKTRO COMFORT AS                                 | Norge | NO       | 4315       | SANDNES              | Gamleveien 23                              | SANDNES         | 1108          |
| 985586284           | 985586284           | ELEKTRO NETTVERK SERVICE AS                        | Norge | NO       | 0664       | OSLO                 | Agmund Bolts vei 57                        | OSLO            | 0301          |
| 985586284           | 985605645           | ELEKTRO NETTVERK SERVICE AS                        | Norge | NO       | 0664       | OSLO                 | Agmund Bolts vei 57                        | OSLO            | 0301          |
| 920677150           | 920677150           | ELEKTRO NORDEN AS                                  | Norge | NO       | 2022       | GJERDRUM             | Hellenvegen 26                             | GJERDRUM        | 3032          |
| 920677150           | 920846076           | ELEKTRO NORDEN AS                                  | Norge | NO       | 2022       | GJERDRUM             | Hellenvegen 26                             | GJERDRUM        | 3032          |
| 982587786           | 982587786           | ELEKTROFAG JÆREN AS                                | Norge | NO       | 4362       | VIGRESTAD            | Industrigata 2                             | HÅ              | 1119          |
| 982587786           | 973884581           | ELEKTROFAG JÆREN AS                                | Norge | NO       | 4362       | VIGRESTAD            | Industrigata 2                             | HÅ              | 1119          |
| 975363112           | 975363112           | ELEKTROFORUM AS                                    | Norge | NO       | 3475       | SÆTRE                | Åsveien 9                                  | ASKER           | 3025          |
| 975363112           | 975379329           | ELEKTROFORUM AS                                    | Norge | NO       | 3475       | SÆTRE                | Åsveien 9                                  | ASKER           | 3025          |
| 990476535           | 990476535           | ELEKTROINSTALLATØR GRANBERG OG NORDENGEN AS        | Norge | NO       | 2743       | HARESTUA             | Vestbygdvegen 56                           | LUNNER          | 3054          |
| 990476535           | 990493693           | ELEKTROINSTALLATØR GRANBERG OG NORDENGEN AS        | Norge | NO       | 2743       | HARESTUA             | Vestbygdvegen 56                           | LUNNER          | 3054          |
| 980890791           | 980890791           | ELEKTROINSTALLATØR NILS-ROALD NILSEN AS            | Norge | NO       | 9158       | STORSLETT            | Fosnes 53                                  | NORDREISA       | 5428          |
| 980890791           | 972710865           | ELEKTROINSTALLATØR NILS-ROALD NILSEN AS            | Norge | NO       | 9158       | STORSLETT            | Fosnes 53                                  | NORDREISA       | 5428          |
| 918050981           | 918050981           | ELEKTROSAFE AS                                     | Norge | NO       | 2615       | LILLEHAMMER          | Tomtegata 6                                | LILLEHAMMER     | 3405          |
| 918050981           | 918111646           | ELEKTROSAFE AS                                     | Norge | NO       | 2615       | LILLEHAMMER          | Tomtegata 6                                | LILLEHAMMER     | 3405          |
| 976232550           | 976232550           | ELEKTROSERVICE AS                                  | Norge | NO       | 7800       | NAMSOS               | Lensmann Havigs gate 2C                    | NAMSOS          | 5007          |
| 976232550           | 976236971           | ELEKTROSERVICE AS                                  | Norge | NO       | 7800       | NAMSOS               | Lensmann Havigs gate 2C                    | NAMSOS          | 5007          |
| 971140445           | 971140445           | ELEKTROSERVICE KRISTIANSUND AS                     | Norge | NO       | 6517       | KRISTIANSUND N       | Industriveien 4B                           | KRISTIANSUND    | 1505          |
| 971140445           | 973942646           | ELEKTROSERVICE KRISTIANSUND AS                     | Norge | NO       | 6517       | KRISTIANSUND N       | Industriveien 4B                           | KRISTIANSUND    | 1505          |
| 983535836           | 983535836           | ELEKTROTECH AS                                     | Norge | NO       | 3690       | HJARTDAL             | Hjartdalsvegen 760                         | HJARTDAL        | 3819          |
| 983535836           | 983553745           | ELEKTROTECH AS                                     | Norge | NO       | 3690       | HJARTDAL             | Hjartdalsvegen 760                         | HJARTDAL        | 3819          |
| 981451775           | 981451775           | ELEKTROTEMA AGDER AS                               | Norge | NO       | 4636       | KRISTIANSAND S       | Barstølveien 36                            | KRISTIANSAND    | 4204          |
| 981451775           | 981472691           | ELEKTROTEMA AGDER AS                               | Norge | NO       | 4636       | KRISTIANSAND S       | Barstølveien 36                            | KRISTIANSAND    | 4204          |
| 979287828           | 979287828           | ELEKTRO-TERM AS                                    | Norge | NO       | 1394       | NESBRU               | Fekjan 6                                   | ASKER           | 3025          |
| 979287828           | 879290422           | ELEKTRO-TERM AS                                    | Norge | NO       | 1394       | NESBRU               | Fekjan 6                                   | ASKER           | 3025          |
| 931142550           | 931142550           | EL-FAG AS                                          | Norge | NO       | 2900       | FAGERNES             | Valdresvegen 1                             | NORD-AURDAL     | 3451          |
| 931142550           | 971970596           | EL-FAG AS                                          | Norge | NO       | 2900       | FAGERNES             | Valdresvegen 1                             | NORD-AURDAL     | 3451          |
| 896899562           | 896899562           | ELINST OPPDAL AS                                   | Norge | NO       | 7340       | OPPDAL               | Søndre Industrivegen 12                    | OPPDAL          | 5021          |
| 896899562           | 996914984           | ELINST OPPDAL AS                                   | Norge | NO       | 7340       | OPPDAL               | Søndre Industrivegen 12                    | OPPDAL          | 5021          |
| 919788143           | 919788143           | ELISENBERG ELEKTRO AS                              | Norge | NO       | 1782       | HALDEN               | Busterudkleiva 54                          | HALDEN          | 3001          |
| 919788143           | 988672459           | ELISENBERG ELEKTRO AS                              | Norge | NO       | 1782       | HALDEN               | Busterudkleiva 54                          | HALDEN          | 3001          |
| 916753616           | 916753616           | ELPROS AS                                          | Norge | NO       | 7725       | STEINKJER            | Jæktskippergata 17                         | STEINKJER       | 5006          |
| 916753616           | 912568407           | ELPROS AS                                          | Norge | NO       | 7725       | STEINKJER            | Jæktskippergata 17                         | STEINKJER       | 5006          |
| 987166959           | 987166959           | E-NOR INSTALLASJON AS                              | Norge | NO       | 7725       | STEINKJER            | Seilmakergata 1                            | STEINKJER       | 5006          |
| 987166959           | 991311882           | E-NOR INSTALLASJON AS AVD NAMSOS                   | Norge | NO       | 7800       | NAMSOS               | Sverres gate 25                            | NAMSOS          | 5007          |
| 987166959           | 987174447           | E-NOR INSTALLASJON AS AVD STEINKJER                | Norge | NO       | 7725       | STEINKJER            | Seilmakergata 1                            | STEINKJER       | 5006          |
| 987166959           | 983193110           | E-NOR INSTALLASJON AS AVD VERDAL                   | Norge | NO       | 7650       | VERDAL               | Håkon den VII allé 2                       | VERDAL          | 5038          |
| 923816410           | 923816410           | ERNST EISMANN AS                                   | Norge | NO       | 5105       | EIDSVÅG I ÅSANE      | Jordalsveien 42                            | BERGEN          | 4601          |
| 923816410           | 823974442           | ERNST EISMANN AS                                   | Norge | NO       | 5105       | EIDSVÅG I ÅSANE      | Jordalsveien 42                            | BERGEN          | 4601          |
| 978662463           | 978662463           | EVTEK AS                                           | Norge | NO       | 4735       | EVJE                 | Verksvegen 16                              | EVJE OG HORNNES | 4219          |
| 978662463           | 972181005           | EVTEK AS                                           | Norge | NO       | 4735       | EVJE                 | Verksvegen 16                              | EVJE OG HORNNES | 4219          |
| 959556016           | 959556016           | FAUSKE ELEKTRO AS                                  | Norge | NO       | 8200       | FAUSKE               | Sjøgata 60                                 | FAUSKE          | 1841          |
| 959556016           | 971757450           | FAUSKE ELEKTRO AS                                  | Norge | NO       | 8200       | FAUSKE               | Sjøgata 60                                 | FAUSKE          | 1841          |
| 885284752           | 885284752           | FERSTAD INSTALLASJON AS                            | Norge | NO       | 6723       | SVELGEN              | Gunnar Schjelderups veg 64B                | BREMANGER       | 4648          |
| 885284752           | 976203380           | FERSTAD INSTALLASJON AS                            | Norge | NO       | 6723       | SVELGEN              | Gunnar Schjelderups veg 64B                | BREMANGER       | 4648          |
| 990423849           | 990423849           | FEVIK ELEKTRO AS                                   | Norge | NO       | 4870       | FEVIK                | Feviktoppen 9                              | GRIMSTAD        | 4202          |
| 990423849           | 990521107           | FEVIK ELEKTRO AS                                   | Norge | NO       | 4870       | FEVIK                | Feviktoppen 9                              | GRIMSTAD        | 4202          |
| 948480468           | 948480468           | FOLLDAL ELEKTRO AS                                 | Norge | NO       | 2580       | FOLLDAL              | Gruvvegen 30A                              | FOLLDAL         | 3429          |
| 948480468           | 972139637           | FOLLDAL ELEKTRO AS                                 | Norge | NO       | 2580       | FOLLDAL              | Gruvvegen 30A                              | FOLLDAL         | 3429          |
| 919386509           | 919386509           | FOSSER EL. INSTALLASJON AS                         | Norge | NO       | 1890       | RAKKESTAD            | Sagveien 25                                | RAKKESTAD       | 3016          |
| 919386509           | 919467932           | FOSSER EL. INSTALLASJON AS                         | Norge | NO       | 1890       | RAKKESTAD            | Sagveien 25                                | RAKKESTAD       | 3016          |
| 968989847           | 968989847           | FRØYLAND ELEKTRO AS                                | Norge | NO       | 5515       | HAUGESUND            | Årabrotsvegen 19D                          | HAUGESUND       | 1106          |
| 968989847           | 971691387           | FRØYLAND ELEKTRO AS                                | Norge | NO       | 5515       | HAUGESUND            | Årabrotsvegen 19D                          | HAUGESUND       | 1106          |
| 942143710           | 942143710           | GAGAMA ELEKTRO AS                                  | Norge | NO       | 9610       | RYPEFJORD            | Leirvikhøyda 8                             | HAMMERFEST      | 5406          |
| 942143710           | 974081199           | GAGAMA ELEKTRO AS                                  | Norge | NO       | 9610       | RYPEFJORD            | Leirvikhøyda 8                             | HAMMERFEST      | 5406          |
| 925688797           | 925688797           | GAUP ELEKTRO AS                                    | Norge | NO       | 9522       | KAUTOKEINO           | Heargedievvá 19                            | KAUTOKEINO      | 5430          |
| 925688797           | 825713492           | GAUP ELEKTRO                                       | Norge | NO       | 9522       | KAUTOKEINO           | Heargedievvá 19                            | KAUTOKEINO      | 5430          |
| 986766537           | 986766537           | HAGEN OG LINSTAD AS                                | Norge | NO       | 2100       | SKARNES              | Bruvegen 23                                | SØR-ODAL        | 3415          |
| 986766537           | 918628231           | HAGEN OG LINSTAD AS AVD KONGSVINGER                | Norge | NO       | 2211       | KONGSVINGER          | Tajevegen 3                                | KONGSVINGER     | 3401          |
| 986766537           | 986776001           | HAGEN OG LINSTAD AS AVD SKARNES                    | Norge | NO       | 2100       | SKARNES              | Bruvegen 23                                | SØR-ODAL        | 3415          |
| 965558268           | 965558268           | HAKO ELEKTRO AS                                    | Norge | NO       | 0655       | OSLO                 | 3. etasje,Ensjøveien 12D                   | OSLO            | 0301          |
| 965558268           | 872348212           | HAKO ELEKTRO AS                                    | Norge | NO       | 0655       | OSLO                 | 3. etasje,Ensjøveien 12D                   | OSLO            | 0301          |
| 965558268           | 930673242           | HAKO ELEKTRO AS AVD ROMERIKE                       | Norge | NO       | 2050       | JESSHEIM             | Trondheimsvegen - Jessheim 83              | ULLENSAKER      | 3033          |
| 948501341           | 948501341           | HARALDSEID ELEKTRISKE AS                           | Norge | NO       | 5578       | NEDRE VATS           | Ingen Adresse                              | VINDAFJORD      | 1160          |
| 948501341           | 971818441           | HARALDSEID ELEKTRISKE AS                           | Norge | NO       | 5578       | NEDRE VATS           | KÅRHUS 58                                  | VINDAFJORD      | 1160          |
| 975969991           | 975969991           | HARESTAD ELEKTRISKE AS                             | Norge | NO       | 4070       | RANDABERG            | Torvmyrveien 26                            | RANDABERG       | 1127          |
| 975969991           | 972394807           | HARESTAD ELEKTRISKE AS                             | Norge | NO       | 4070       | RANDABERG            | Torvmyrveien 26                            | RANDABERG       | 1127          |
| 977232430           | 977232430           | HATTELAND ELEKTRISKE AS                            | Norge | NO       | 4351       | KLEPPE               | Kjøpmannsbrotet 3                          | KLEPP           | 1120          |
| 977232430           | 977235340           | HATTELAND ELEKTRISKE AS                            | Norge | NO       | 4351       | KLEPPE               | Kjøpmannsbrotet 3                          | KLEPP           | 1120          |
| 912492575           | 912492575           | HAUGESUND ELEKTRISKE FORRETNING AS                 | Norge | NO       | 5519       | HAUGESUND            | Skjoldavegen 121                           | HAUGESUND       | 1106          |
| 912492575           | 973156551           | HAUGESUND ELEKTRISKE FORRETNING AS                 | Norge | NO       | 5519       | HAUGESUND            | Skjoldavegen 121                           | HAUGESUND       | 1106          |
| 874392022           | 874392022           | HAUGSNES ELEKTRO AS                                | Norge | NO       | 9990       | BÅTSFJORD            | Havnegata 27                               | BÅTSFJORD       | 5443          |
| 874392022           | 974426706           | HAUGSNES ELEKTRO AS                                | Norge | NO       | 9990       | BÅTSFJORD            | Havnegata 27                               | BÅTSFJORD       | 5443          |
| 993428388           | 993428388           | HENDEN ELEKTRO AS                                  | Norge | NO       | 6823       | SANDANE              | Sørstrandsvegen 6                          | GLOPPEN         | 4650          |
| 993428388           | 873169192           | HENDEN ELEKTRO AS                                  | Norge | NO       | 6823       | SANDANE              | Sørstrandsvegen 6                          | GLOPPEN         | 4650          |
| 945419849           | 945419849           | H K SØRENSEN AS                                    | Norge | NO       | 9300       | FINNSNES             | Hersvik 6                                  | SENJA           | 5421          |
| 945419849           | 972105945           | SØRENSEN H K AS                                    | Norge | NO       | 9300       | FINNSNES             | Hersvik 6                                  | SENJA           | 5421          |
| 930884820           | 930884820           | HOEL ELEKTRO AS                                    | Norge | NO       | 0575       | OSLO                 | Frydenbergveien 46B                        | OSLO            | 0301          |
| 930884820           | 971778741           | HOEL ELEKTRO AS                                    | Norge | NO       | 0575       | OSLO                 | Frydenbergveien 46B                        | OSLO            | 0301          |
| 890007082           | 890007082           | HORTEN ELEKTRISKE AS                               | Norge | NO       | 2630       | RINGEBU              | Gudbrandsdalsvegen 2090                    | RINGEBU         | 3439          |
| 890007082           | 971975741           | HORTEN ELEKTRISKE AS                               | Norge | NO       | 2630       | RINGEBU              | Gudbrandsdalsvegen 2090                    | RINGEBU         | 3439          |
| 914471184           | 914471184           | HUS ELEKTRO AS                                     | Norge | NO       | 5165       | LAKSEVÅG             | Gravdalsveien 3                            | BERGEN          | 4601          |
| 914471184           | 914522617           | HUS ELEKTRO AS                                     | Norge | NO       | 5165       | LAKSEVÅG             | Gravdalsveien 3                            | BERGEN          | 4601          |
